type,price,location,area,bedrooms,bathrooms,kitchens,parking_spaces,Luxury_catogory,built_in_type
Flat,0.95,Gulberg,2.3,1.0,1.0,1.0,2.0,Medium,Relatively New Property
House,2.2,Bahria Town,5.0,3.0,4.0,2.0,1.0,High,New Property
House,95.0,E-7,48.0,6.0,6.0,1.0,6.0,High,New Property
House,2.2,Bahria Town,5.0,3.0,4.0,2.0,1.0,Medium,New Property
Flat,0.6,G-13,5.1,2.0,2.0,1.0,2.0,Low,Relatively New Property
House,12.9,I-8,12.4,7.0,6.0,1.0,1.0,High,New Property
Flat,1.1,E-11,2.6,1.0,1.0,1.0,1.0,Low,Relatively New Property
Flat,1.4,DHA Defence,6.2,3.0,3.0,1.0,2.0,Medium,Relatively New Property
Flat,10.64,Blue Area,10.6,3.0,2.0,1.0,1.0,High,Relatively New Property
House,2.9,E-16,10.0,6.0,6.0,2.0,3.0,Medium,Moderately old Property
Flat,3.95,F-11,9.8,3.0,3.0,1.0,2.0,Medium,Relatively New Property
House,2.2,Bani Gala,5.0,4.0,5.0,2.0,1.0,Medium,New Property
Flat,2.52,Bahria Town,9.3,3.0,3.0,1.0,2.0,Medium,Relatively New Property
House,2.9,I-14,7.0,5.0,6.0,2.0,2.0,High,Moderately old Property
House,10.9,DHA Defence,20.0,6.0,6.0,2.0,3.0,Medium,New Property
House,10.45,DHA Defence,20.0,6.0,6.0,3.0,2.0,High,New Property
House,32.0,F-6,17.8,6.0,6.0,3.0,3.0,High,New Property
House,15.5,DHA Defence,28.0,5.0,6.0,3.0,2.0,Low,Relatively New Property
House,8.5,G-13,10.0,5.0,6.0,2.0,4.0,Low,New Property
House,12.0,DHA Defence,20.0,6.0,6.0,2.0,3.0,High,New Property
Flat,3.95,F-11,14.2,3.0,3.0,1.0,2.0,Low,Relatively New Property
House,30.0,F-8,26.0,4.0,5.0,1.0,1.0,High,Relatively New Property
Flat,1.85,E-11,5.3,2.0,2.0,1.0,1.0,Low,Relatively New Property
House,2.85,Bahria Town,5.0,3.0,4.0,2.0,1.0,High,New Property
House,23.0,F-8,17.8,4.0,5.0,1.0,1.0,Low,Relatively New Property
House,3.45,FECHS,8.0,6.0,6.0,3.0,2.0,Low,New Property
House,2.35,FECHS,8.0,3.0,4.0,2.0,2.0,Medium,New Property
Flat,0.75,F-11,2.1,1.0,1.0,1.0,6.0,High,Relatively New Property
House,2.42,Bahria Town,5.0,3.0,3.0,1.0,1.0,Low,Relatively New Property
Flat,0.82,DHA Defence,3.6,2.0,2.0,1.0,2.0,Low,Relatively New Property
Flat,0.45,Ghauri Town,3.1,2.0,2.0,1.0,1.0,High,Relatively New Property
House,7.7,PWD Housing Scheme,20.0,7.0,6.0,2.0,4.0,Medium,New Property
Flat,0.75,DHA Defence,3.6,2.0,2.0,1.0,2.0,Low,Relatively New Property
Flat,1.5,Park View City,3.6,1.0,2.0,1.0,2.0,Medium,Relatively New Property
Flat,2.8,G-11,6.7,2.0,2.0,2.0,2.0,High,Relatively New Property
House,2.1,E-18,7.0,6.0,6.0,3.0,2.0,Medium,Relatively New Property
House,4.0,Bahria Town,9.0,5.0,6.0,1.0,2.0,Medium,New Property
House,33.0,F-6,32.0,5.0,5.0,1.0,1.0,Low,Relatively New Property
House,2.15,Pakistan Town,5.0,4.0,5.0,2.0,1.0,High,Moderately old Property
Flat,5.8,Diplomatic Enclave,7.1,2.0,2.0,1.0,3.0,Medium,Old Property
Flat,0.9,Bani Gala,4.7,2.0,2.0,1.0,2.0,Low,Relatively New Property
Flat,0.98,H-13,4.7,2.0,2.0,1.0,2.0,Low,Relatively New Property
Flat,0.78,DHA Defence,3.6,2.0,2.0,1.0,1.0,High,New Property
Flat,1.57,G-11,1.6,1.0,1.0,1.0,4.0,High,New Property
House,3.3,Bani Gala,12.0,5.0,5.0,2.0,3.0,High,New Property
Flat,1.15,Gulberg,3.1,1.0,1.0,1.0,1.0,High,New Property
House,8.0,Bahria Town,26.0,4.0,5.0,1.0,4.0,Medium,New Property
Flat,0.75,E-11,6.2,3.0,3.0,1.0,1.0,High,New Property
House,2.3,Mumtaz City,7.0,5.0,6.0,2.0,2.0,Low,Relatively New Property
House,2.8,Bahria Town,5.0,3.0,4.0,2.0,1.0,High,New Property
House,3.65,I-10,6.0,4.0,3.0,2.0,1.0,Medium,Moderately old Property
Flat,1.18,Bahria Town,4.7,2.0,2.0,1.0,2.0,Medium,New Property
Flat,1.5,G-15,4.8,2.0,2.0,1.0,3.0,High,New Property
House,2.4,Bahria Town,5.0,4.0,4.0,3.0,2.0,Low,Relatively New Property
House,5.5,F-17,20.0,8.0,3.0,2.0,2.0,Low,New Property
House,3.7,G-11,5.0,4.0,4.0,2.0,2.0,Medium,Relatively New Property
House,6.0,E-11,10.0,6.0,6.0,2.0,3.0,Medium,Moderately old Property
House,10.9,DHA Defence,20.0,6.0,6.0,2.0,2.0,High,New Property
House,3.2,G-13,4.4,4.0,3.0,3.0,2.0,High,Relatively New Property
House,8.5,G-13,10.9,7.0,6.0,3.0,1.0,Low,Relatively New Property
Flat,0.65,Bahria Town,2.0,1.0,1.0,1.0,2.0,Low,New Property
House,14.5,F-10,20.0,5.0,5.0,2.0,3.0,Low,Moderately old Property
House,77.0,E-7,42.0,5.0,3.0,2.0,7.0,High,Moderately old Property
Flat,1.1,DHA Defence,4.9,2.0,3.0,1.0,1.0,High,Relatively New Property
Flat,1.1,DHA Defence,5.1,2.0,2.0,1.0,2.0,Medium,Relatively New Property
House,12.0,DHA Defence,20.0,7.0,6.0,1.0,3.0,High,New Property
Flat,0.95,D-17,6.8,2.0,2.0,2.0,1.0,High,Relatively New Property
Flat,6.5,Karakoram Diplomatic Enclave,6.9,2.0,2.0,1.0,2.0,Medium,Relatively New Property
Flat,1.88,DHA Defence,8.7,3.0,3.0,1.0,1.0,Medium,Relatively New Property
Flat,1.84,DHA Defence,6.1,2.0,2.0,1.0,2.0,Medium,Relatively New Property
House,1.75,Bani Gala,5.0,4.0,6.0,2.0,1.0,Medium,New Property
Flat,0.88,Gulberg,2.4,1.0,1.0,1.0,1.0,High,Relatively New Property
Flat,1.55,G-11,1.6,1.0,1.0,1.0,1.0,High,New Property
Flat,1.45,Kashmir Highway,3.4,2.0,1.0,1.0,1.0,High,New Property
House,8.45,DHA Defence,20.0,5.0,5.0,2.0,3.0,Medium,New Property
Flat,0.55,I-16,4.1,2.0,2.0,1.0,1.0,High,New Property
Flat,3.5,DHA Defence,11.0,3.0,3.0,1.0,1.0,Low,Relatively New Property
House,42.0,F-7,26.0,8.0,6.0,2.0,6.0,High,New Property
Flat,4.7,Kashmir Highway,9.8,3.0,4.0,1.0,2.0,High,New Property
House,4.5,DHA Defence,18.0,3.0,4.0,2.0,2.0,High,Moderately old Property
Flat,2.3,G-15,8.5,3.0,3.0,1.0,3.0,Medium,New Property
House,4.2,G-13,4.0,5.0,5.0,2.0,1.0,High,New Property
House,3.1,G-15,8.0,5.0,5.0,3.0,2.0,Low,Relatively New Property
House,36.5,F-7,26.0,5.0,3.0,2.0,6.0,High,Old Property
House,16.85,DHA Defence,30.0,5.0,6.0,3.0,1.0,High,New Property
Flat,3.6,G-11,4.0,5.0,5.0,2.0,6.0,High,Moderately old Property
House,9.5,DHA Defence,20.0,6.0,6.0,2.0,2.0,Low,New Property
Flat,0.65,I-12,3.9,2.0,2.0,1.0,2.0,Low,Relatively New Property
Flat,1.07,B-17,5.4,3.0,3.0,1.0,1.0,High,New Property
Flat,0.95,I-16,6.6,3.0,3.0,2.0,4.0,High,New Property
Flat,0.6,H-13,2.0,1.0,1.0,1.0,2.0,Low,Relatively New Property
Flat,1.1,E-11,7.6,2.0,2.0,1.0,1.0,Medium,Relatively New Property
Flat,1.25,E-11,3.8,1.0,1.0,1.0,2.0,Low,Relatively New Property
Flat,3.0,Diplomatic Enclave,4.8,2.0,2.0,1.0,1.0,Low,New Property
House,14.5,DHA Defence,20.0,5.0,6.0,1.0,3.0,Medium,New Property
House,22.0,F-8,20.0,4.0,5.0,2.0,6.0,High,New Property
Flat,0.59,DHA Defence,2.7,1.0,1.0,1.0,2.0,Low,Relatively New Property
House,3.2,FECHS,7.0,4.0,6.0,2.0,2.0,High,New Property
House,6.0,Soan Garden,20.0,8.0,6.0,2.0,2.0,Medium,Relatively New Property
House,12.0,DHA Defence,20.0,6.0,6.0,2.0,2.0,Medium,New Property
Flat,3.3,G-11,7.1,2.0,2.0,1.0,1.0,Low,Old Property
House,2.7,I-14,6.0,6.0,6.0,2.0,1.0,Medium,Relatively New Property
Flat,0.25,Pakistan Town,1.7,1.0,1.0,1.0,2.0,Low,Relatively New Property
Flat,1.1,E-11,4.9,2.0,2.0,1.0,4.0,High,New Property
House,15.0,E-11,20.0,9.0,6.0,3.0,4.0,Low,Relatively New Property
Flat,1.1,DHA Defence,4.5,1.0,3.0,1.0,2.0,Low,Relatively New Property
Flat,10.64,F-7,10.6,3.0,2.0,1.0,1.0,High,New Property
House,63.0,F-8,48.0,9.0,3.0,2.0,5.0,Medium,Relatively New Property
House,4.75,I-10,5.0,4.0,4.0,2.0,2.0,Low,Relatively New Property
House,1.5,D-17,7.0,3.0,3.0,1.0,1.0,High,New Property
Flat,0.45,Pakistan Town,2.7,2.0,2.0,1.0,2.0,Low,Relatively New Property
Flat,2.25,DHA Defence,10.0,3.0,3.0,1.0,1.0,High,Relatively New Property
House,0.75,E-11,4.4,3.0,3.0,1.0,1.0,Low,New Property
Flat,0.3,D-17,1.8,1.0,2.0,1.0,1.0,Medium,Relatively New Property
House,12.0,DHA Defence,20.0,6.0,6.0,3.0,2.0,High,New Property
Flat,0.7,I-12,3.9,2.0,2.0,1.0,2.0,Low,Relatively New Property
House,1.82,I-10,4.0,2.0,1.0,3.0,2.0,Low,Relatively New Property
Flat,11.0,Karakoram Diplomatic Enclave,11.8,3.0,4.0,2.0,1.0,High,Moderately old Property
House,13.25,G-10,15.0,5.0,5.0,2.0,5.0,Medium,Relatively New Property
House,3.05,F-17,10.5,6.0,6.0,2.0,2.0,Low,New Property
House,8.25,DHA Defence,20.0,5.0,6.0,2.0,3.0,Medium,Relatively New Property
Flat,0.95,Soan Garden,4.4,2.0,2.0,1.0,2.0,Low,Relatively New Property
Flat,1.13,DHA Defence,5.1,2.0,2.0,1.0,2.0,Medium,Relatively New Property
House,6.15,DHA Defence,10.0,5.0,6.0,2.0,2.0,Medium,Relatively New Property
House,5.25,Bahria Town,10.0,5.0,6.0,2.0,4.0,Low,New Property
Flat,3.65,DHA Defence,10.7,3.0,3.0,1.0,1.0,Medium,Relatively New Property
House,2.8,I-14,7.0,5.0,5.0,3.0,2.0,Low,Relatively New Property
House,2.6,Bahria Town,5.0,3.0,4.0,1.0,2.0,Low,New Property
Flat,2.5,DHA Defence,11.8,3.0,3.0,1.0,2.0,Medium,New Property
House,3.3,G-13,4.4,4.0,4.0,2.0,1.0,Low,New Property
House,4.1,G-14,5.0,5.0,6.0,1.0,1.0,High,New Property
House,4.5,D-12,4.0,4.0,5.0,2.0,1.0,High,New Property
House,8.85,DHA Defence,20.0,6.0,6.0,2.0,3.0,High,New Property
House,9.65,G-13,14.0,7.0,6.0,3.0,2.0,Low,Relatively New Property
House,2.8,Bani Gala,6.0,5.0,6.0,2.0,2.0,Low,New Property
House,4.0,D-12,4.4,4.0,4.0,1.0,1.0,High,Relatively New Property
Flat,1.24,E-11,3.8,1.0,1.0,1.0,1.0,Low,Relatively New Property
Flat,8.5,Diplomatic Enclave,9.2,2.0,3.0,1.0,1.0,Medium,Moderately old Property
Flat,0.58,H-13,2.7,2.0,2.0,2.0,1.0,Low,Relatively New Property
House,1.6,Gulberg,10.0,5.0,5.0,3.0,4.0,High,New Property
Flat,2.6,F-11,7.8,2.0,2.0,1.0,1.0,High,Old Property
Flat,0.75,G-13,6.0,2.0,2.0,1.0,1.0,High,Relatively New Property
House,4.4,D-12,4.0,4.0,4.0,1.0,2.0,High,New Property
Flat,0.8,DHA Defence,3.5,1.0,1.0,1.0,2.0,Medium,Relatively New Property
Flat,1.25,D-17,4.4,2.0,2.0,1.0,2.0,High,New Property
Flat,0.45,Ghauri Town,3.1,2.0,2.0,1.0,1.0,High,New Property
Flat,0.55,I-16,4.1,2.0,2.0,1.0,1.0,High,New Property
House,3.5,Bahria Town,8.0,4.0,5.0,2.0,1.0,High,New Property
Flat,0.47,I-12,3.2,2.0,2.0,1.0,1.0,High,New Property
House,4.45,PWD Housing Scheme,9.3,5.0,6.0,2.0,2.0,High,New Property
Flat,2.04,Zaraj Housing Scheme,9.6,3.0,3.0,1.0,3.0,Low,Moderately old Property
Flat,0.67,B-17,3.4,2.0,2.0,1.0,2.0,Medium,Relatively New Property
Flat,1.9,D-17,8.0,3.0,3.0,1.0,1.0,Low,New Property
Flat,0.68,Gulberg,1.9,1.0,1.0,1.0,1.0,High,Relatively New Property
Flat,1.0,Bahria Town,5.9,2.0,2.0,2.0,2.0,High,New Property
House,2.85,Naval Anchorage,5.0,4.0,6.0,2.0,1.0,Low,New Property
Flat,1.6,G-15,5.5,2.0,2.0,1.0,1.0,Medium,Relatively New Property
House,4.7,National Police Foundation O-9,20.0,6.0,6.0,2.0,2.0,Low,Relatively New Property
Flat,1.1,G-13,7.8,3.0,3.0,1.0,1.0,High,Relatively New Property
House,2.3,B-17,7.0,6.0,6.0,3.0,2.0,Low,New Property
House,2.35,Mumtaz City,8.0,5.0,6.0,3.0,1.0,Low,Relatively New Property
Flat,1.62,G-15,5.5,2.0,2.0,1.0,2.0,Medium,Relatively New Property
Flat,3.59,G-11,7.2,2.0,2.0,1.0,2.0,Medium,Relatively New Property
Flat,1.07,E-11,4.0,2.0,2.0,2.0,1.0,High,New Property
House,10.0,D-12,8.0,7.0,6.0,1.0,1.0,High,Relatively New Property
Flat,0.6,Ghauri Town,3.1,2.0,2.0,1.0,1.0,Low,Moderately old Property
House,1.8,B-17,5.0,4.0,4.0,1.0,6.0,High,Moderately old Property
Flat,0.9,DHA Defence,4.0,2.0,2.0,1.0,1.0,High,Relatively New Property
House,46.0,E-7,32.0,8.0,6.0,1.0,1.0,Low,Relatively New Property
Flat,1.2,Bani Gala,4.7,1.0,1.0,2.0,1.0,High,New Property
Flat,0.39,H-13,1.3,2.0,1.0,1.0,2.0,Low,Relatively New Property
House,7.75,Bani Gala,30.0,7.0,6.0,2.0,4.0,High,Moderately old Property
Flat,1.85,DHA Defence,8.7,3.0,3.0,1.0,1.0,Low,Relatively New Property
Flat,0.73,G-13,6.0,2.0,2.0,1.0,2.0,High,New Property
House,6.25,Bahria Town,10.0,4.0,5.0,3.0,2.0,Low,Relatively New Property
Flat,5.9,Karakoram Diplomatic Enclave,6.2,2.0,3.0,1.0,2.0,Low,Relatively New Property
Flat,2.6,DHA Defence,12.0,3.0,4.0,1.0,2.0,Medium,New Property
House,8.8,Bahria Town,20.0,5.0,6.0,1.0,1.0,Low,New Property
Flat,2.5,F-11,6.2,2.0,2.0,1.0,1.0,High,Moderately old Property
House,9.9,DHA Defence,20.0,5.0,6.0,2.0,2.0,Medium,Relatively New Property
Flat,1.75,Faisal Town - F-18,9.6,3.0,3.0,2.0,1.0,High,New Property
Flat,0.63,B-17,4.0,2.0,2.0,1.0,2.0,Low,Relatively New Property
House,2.75,Pakistan Town,14.0,3.0,4.0,1.0,1.0,High,New Property
Flat,0.9,River Garden,4.4,2.0,2.0,1.0,1.0,High,Relatively New Property
House,12.0,D-12,10.0,5.0,6.0,2.0,4.0,Low,New Property
Flat,0.79,Gulberg,3.2,2.0,2.0,2.0,1.0,Medium,New Property
Flat,0.49,Gulberg,2.1,1.0,1.0,1.0,1.0,High,New Property
House,3.9,G-13,4.0,4.0,5.0,3.0,1.0,Low,Relatively New Property
Flat,0.5,F-17,3.7,2.0,2.0,2.0,1.0,Medium,New Property
House,26.0,DHA Defence,32.0,6.0,6.0,2.0,3.0,High,New Property
House,3.7,DHA Defence,12.0,3.0,4.0,2.0,2.0,Low,Relatively New Property
House,3.65,I-11,5.0,5.0,6.0,2.0,1.0,High,Relatively New Property
Flat,0.33,I-12,3.2,2.0,2.0,1.0,1.0,Low,Relatively New Property
Flat,2.15,E-11,7.5,1.0,2.0,1.0,2.0,Low,Relatively New Property
House,4.17,Bani Gala,14.0,5.0,5.0,1.0,2.0,Medium,Relatively New Property
Flat,4.7,Karakoram Diplomatic Enclave,4.4,1.0,1.0,1.0,1.0,Medium,Moderately old Property
House,22.0,F-11,20.0,6.0,6.0,1.0,4.0,Low,Moderately old Property
House,37.0,F-6,19.5,5.0,6.0,1.0,1.0,Medium,Relatively New Property
Flat,10.64,Blue Area,10.6,3.0,2.0,1.0,2.0,High,Relatively New Property
Flat,2.35,G-11,4.0,2.0,2.0,2.0,2.0,Medium,Relatively New Property
Flat,1.1,H-13,4.6,2.0,2.0,1.0,1.0,Low,New Property
House,36.0,E-7,20.0,5.0,6.0,2.0,6.0,High,New Property
House,2.55,Naval Anchorage,5.0,4.0,6.0,2.0,2.0,Medium,Relatively New Property
Flat,2.5,Diplomatic Enclave,3.0,2.0,2.0,1.0,1.0,Low,Relatively New Property
House,3.6,Bahria Town,8.0,5.0,5.0,2.0,1.0,Medium,New Property
Flat,0.82,Bahria Town,4.3,1.0,1.0,1.0,1.0,Medium,New Property
Flat,1.4,E-11,3.6,2.0,2.0,1.0,2.0,Low,Relatively New Property
House,3.7,D-17,9.0,5.0,6.0,3.0,2.0,Low,Relatively New Property
House,2.75,D-17,8.0,4.0,4.0,1.0,1.0,High,New Property
House,35.0,F-6,22.0,6.0,6.0,2.0,4.0,Medium,Relatively New Property
Flat,2.4,DHA Defence,12.2,3.0,4.0,1.0,2.0,Low,Relatively New Property
Flat,0.55,D-17,3.8,2.0,2.0,1.0,2.0,Low,Relatively New Property
Flat,4.0,Kashmir Highway,9.8,3.0,3.0,3.0,4.0,High,Relatively New Property
House,3.25,FECHS,8.0,5.0,6.0,3.0,2.0,Low,Relatively New Property
Flat,2.5,F-11,6.2,2.0,2.0,1.0,1.0,High,Relatively New Property
House,3.4,G-13,4.4,4.0,5.0,2.0,1.0,High,New Property
Flat,1.75,Kashmir Highway,3.4,2.0,2.0,1.0,2.0,High,Relatively New Property
House,3.45,G-13,4.0,4.0,5.0,2.0,2.0,High,New Property
Flat,2.25,Islamabad Expressway,4.4,2.0,3.0,2.0,2.0,Low,Relatively New Property
House,19.0,F-11,20.0,6.0,6.0,2.0,1.0,Low,Old Property
Flat,0.8,Gulberg,3.2,2.0,2.0,1.0,2.0,Medium,Relatively New Property
House,17.0,DHA Defence,30.0,8.0,6.0,2.0,3.0,High,New Property
Flat,1.8,Gulberg,5.5,3.0,3.0,1.0,2.0,Low,Relatively New Property
Flat,0.9,River Garden,4.4,2.0,2.0,1.0,1.0,High,Relatively New Property
House,15.0,I-8,14.0,6.0,6.0,1.0,4.0,High,Relatively New Property
Flat,1.05,DHA Defence,5.1,2.0,2.0,1.0,2.0,Low,New Property
House,6.25,Bahria Town,10.0,5.0,6.0,2.0,1.0,High,Relatively New Property
Flat,0.9,H-13,4.4,2.0,2.0,1.0,1.0,Low,Relatively New Property
House,11.5,DHA Defence,20.0,6.0,6.0,2.0,3.0,High,New Property
House,27.0,I-8,24.0,6.0,6.0,3.0,4.0,High,New Property
Flat,0.8,DHA Defence,3.6,2.0,2.0,1.0,1.0,Medium,Moderately old Property
Flat,1.15,DHA Defence,4.8,1.0,1.0,1.0,2.0,Low,Relatively New Property
House,11.5,DHA Defence,20.0,6.0,6.0,2.0,2.0,High,New Property
Flat,0.45,G-13,3.1,1.0,2.0,1.0,3.0,High,Relatively New Property
House,8.0,G-9,10.0,5.0,4.0,2.0,2.0,Low,Old Property
House,14.5,DHA Defence,20.0,9.0,6.0,3.0,3.0,High,New Property
Flat,0.32,D-17,2.0,1.0,1.0,1.0,1.0,High,Relatively New Property
Flat,1.1,DHA Defence,4.9,2.0,3.0,1.0,1.0,High,Relatively New Property
Flat,0.65,I-12,3.9,2.0,2.0,1.0,2.0,Low,Relatively New Property
House,1.35,C-18,5.0,4.0,4.0,3.0,2.0,High,Relatively New Property
Flat,1.25,Gulberg,3.7,1.0,1.0,1.0,1.0,High,New Property
House,1.4,Bani Gala,6.0,2.0,3.0,1.0,1.0,Low,New Property
House,3.9,Pakistan Town,10.9,6.0,6.0,3.0,2.0,Low,Relatively New Property
Flat,1.6,E-11,5.3,2.0,2.0,2.0,1.0,High,New Property
House,5.75,D-12,5.0,6.0,6.0,3.0,2.0,Low,Relatively New Property
House,8.75,G-6,10.0,4.0,4.0,3.0,2.0,Low,Relatively New Property
House,3.3,G-14,4.4,4.0,5.0,2.0,1.0,Low,New Property
House,3.5,Soan Garden,10.0,6.0,6.0,2.0,2.0,High,New Property
House,15.5,DHA Defence,20.0,5.0,5.0,3.0,2.0,Low,New Property
Flat,1.65,G-15,5.5,2.0,2.0,1.0,1.0,High,New Property
House,5.5,Bahria Town,10.0,5.0,6.0,2.0,2.0,High,New Property
Flat,3.2,F-11,5.8,2.0,2.0,1.0,1.0,Low,Moderately old Property
Flat,1.5,Bahria Town,5.6,2.0,2.0,1.0,2.0,Medium,Relatively New Property
House,10.0,DHA Defence,20.0,6.0,6.0,1.0,1.0,High,Relatively New Property
Flat,1.05,G-15,2.8,1.0,1.0,1.0,1.0,Low,Relatively New Property
Flat,0.5,G-13,1.9,1.0,1.0,1.0,2.0,Low,Relatively New Property
Flat,2.6,G-11,7.5,2.0,2.0,1.0,1.0,High,Relatively New Property
House,22.0,D-12,20.0,6.0,6.0,2.0,3.0,Medium,New Property
Flat,1.25,Bahria Town,5.0,2.0,2.0,1.0,2.0,Medium,New Property
Flat,4.15,DHA Defence,13.1,4.0,6.0,2.0,1.0,Low,Relatively New Property
House,1.85,Top City 1,5.0,5.0,6.0,2.0,3.0,High,New Property
House,6.75,DHA Defence,17.0,5.0,5.0,2.0,2.0,High,New Property
House,5.4,G-15,12.0,6.0,6.0,2.0,4.0,High,New Property
Flat,1.85,G-15,6.9,3.0,3.0,1.0,1.0,Low,Relatively New Property
Flat,4.0,F-10,9.8,3.0,3.0,1.0,1.0,Low,Old Property
House,3.55,FECHS,8.0,4.0,4.0,2.0,2.0,Low,Relatively New Property
House,11.8,DHA Defence,20.0,5.0,6.0,2.0,3.0,High,New Property
Flat,0.26,C-18,1.1,2.0,2.0,1.0,2.0,Medium,Relatively New Property
Flat,3.25,DHA Defence,11.6,3.0,3.0,1.0,2.0,Low,Relatively New Property
Flat,0.54,G-13,6.0,2.0,2.0,1.0,2.0,Medium,Relatively New Property
House,32.0,F-7,22.0,6.0,6.0,2.0,1.0,Low,Relatively New Property
House,15.75,DHA Defence,20.0,5.0,5.0,1.0,3.0,High,New Property
House,12.0,D-12,10.9,6.0,6.0,1.0,1.0,High,New Property
House,5.6,D-12,5.0,4.0,6.0,2.0,1.0,High,New Property
House,4.1,Bahria Town,10.0,4.0,5.0,1.0,1.0,Medium,Relatively New Property
House,3.75,National Police Foundation O-9,10.0,7.0,6.0,2.0,3.0,High,New Property
House,8.5,Bahria Town,20.0,6.0,6.0,2.0,2.0,Low,Relatively New Property
Flat,15.0,F-8,11.8,3.0,4.0,1.0,2.0,High,Relatively New Property
Flat,1.05,G-15,2.8,1.0,1.0,1.0,2.0,Low,Relatively New Property
House,3.75,Top City 1,10.0,5.0,5.0,2.0,2.0,High,New Property
House,9.0,G-9,14.2,6.0,6.0,1.0,2.0,High,Relatively New Property
Flat,1.9,DHA Defence,8.7,3.0,3.0,1.0,2.0,High,Relatively New Property
Flat,2.52,Bahria Town,6.4,3.0,2.0,1.0,1.0,Low,Relatively New Property
House,1.95,B-17,5.0,4.0,4.0,2.0,2.0,Low,Relatively New Property
House,8.45,G-13,14.2,7.0,6.0,2.0,3.0,High,Relatively New Property
Flat,2.0,DHA Defence,8.7,3.0,3.0,1.0,2.0,Medium,Relatively New Property
Flat,3.17,B-17,8.8,4.0,4.0,1.0,2.0,Medium,Relatively New Property
House,10.85,DHA Defence,20.0,6.0,6.0,2.0,1.0,Low,Relatively New Property
House,1.25,Bani Gala,5.0,2.0,3.0,1.0,3.0,Medium,Moderately old Property
House,12.8,DHA Defence,20.0,5.0,5.0,1.0,3.0,High,New Property
House,12.9,DHA Defence,20.0,5.0,6.0,2.0,3.0,High,New Property
Flat,1.3,G-11,3.1,2.0,2.0,3.0,1.0,High,Relatively New Property
House,9.9,D-12,8.0,4.0,6.0,2.0,6.0,Medium,New Property
Flat,2.8,G-11,7.3,2.0,3.0,1.0,1.0,High,New Property
House,9.3,DHA Defence,20.0,6.0,6.0,2.0,4.0,Medium,New Property
House,7.0,G-13,10.0,5.0,6.0,1.0,1.0,High,Moderately old Property
House,2.65,B-17,10.0,6.0,6.0,3.0,2.0,Low,Relatively New Property
Flat,0.57,Bahria Town,2.9,1.0,1.0,2.0,2.0,High,Relatively New Property
House,35.0,F-6,32.0,5.0,6.0,1.0,4.0,Medium,Relatively New Property
House,2.7,Korang Town,6.7,5.0,5.0,3.0,2.0,Low,Relatively New Property
Flat,2.15,F-10,2.9,1.0,1.0,1.0,1.0,High,Relatively New Property
Flat,18.0,F-8,11.7,3.0,4.0,1.0,3.0,High,Moderately old Property
House,0.9,Ghauri Town,5.0,3.0,3.0,3.0,2.0,Low,Relatively New Property
House,4.5,Bani Gala,16.0,9.0,6.0,1.0,2.0,Medium,Relatively New Property
House,4.8,Bahria Town,10.0,5.0,5.0,2.0,2.0,High,New Property
Flat,1.1,G-15,2.8,1.0,1.0,1.0,1.0,Low,New Property
House,2.5,Gulberg,10.0,5.0,5.0,2.0,6.0,High,Relatively New Property
House,8.5,DHA Defence,24.0,6.0,6.0,2.0,2.0,Low,Relatively New Property
House,12.8,DHA Defence,20.0,5.0,6.0,2.0,4.0,High,New Property
Flat,0.9,DHA Defence,3.6,2.0,2.0,1.0,2.0,Medium,Relatively New Property
House,33.0,F-6,22.0,7.0,3.0,2.0,5.0,High,New Property
Flat,0.25,National Police Foundation O-9,1.3,2.0,1.0,2.0,1.0,High,Moderately old Property
House,14.45,DHA Defence,20.0,5.0,6.0,2.0,3.0,Medium,New Property
House,4.5,G-11,5.0,4.0,4.0,2.0,1.0,High,Relatively New Property
House,6.2,DHA Defence,13.0,4.0,5.0,1.0,2.0,Medium,Relatively New Property
House,8.5,DHA Defence,20.0,5.0,6.0,2.0,2.0,High,New Property
House,13.5,DHA Defence,20.0,6.0,6.0,2.0,2.0,High,New Property
House,10.0,DHA Defence,20.0,5.0,6.0,2.0,2.0,High,New Property
Flat,0.9,Soan Garden,4.9,2.0,2.0,1.0,2.0,Low,Relatively New Property
Flat,1.32,Gulberg,3.4,2.0,2.0,1.0,2.0,Low,Old Property
House,3.95,Bahria Town,10.0,5.0,5.0,2.0,2.0,High,Moderately old Property
Flat,0.96,Bahria Town,4.3,1.0,1.0,1.0,2.0,Medium,Relatively New Property
House,7.25,DHA Defence,10.0,5.0,5.0,2.0,3.0,High,New Property
House,1.8,DHA Defence,5.0,3.0,4.0,1.0,1.0,Low,New Property
House,72.0,F-8,36.0,9.0,3.0,2.0,7.0,High,Moderately old Property
House,80.0,F-7,80.0,6.0,6.0,1.0,1.0,Low,Moderately old Property
House,2.8,Bani Gala,6.0,5.0,6.0,2.0,1.0,Low,Relatively New Property
House,12.8,DHA Defence,20.0,5.0,6.0,2.0,3.0,High,New Property
Flat,0.9,B-17,5.0,2.0,2.0,1.0,2.0,Medium,Relatively New Property
Flat,3.45,F-10,2.6,1.0,1.0,1.0,1.0,Low,Moderately old Property
House,11.7,DHA Defence,20.0,6.0,6.0,2.0,3.0,High,New Property
Flat,2.5,G-11,3.8,2.0,2.0,1.0,1.0,High,Moderately old Property
